State,City,Zipcode,Date,Sales
TX,Austin,78748,2018-01-10 00:00:00,$92.75
TX,Dallas,75231,2018-01-10 00:00:00,$44.85
TX,El Paso,79936,2018-01-10 00:00:00,$433.2
TX,San Antonio,78253,2018-01-10 00:00:00,$199.8
TX,Amarillo,79121,2018-01-11 00:00:00,$2.49
TX,Austin,78748,2018-01-11 00:00:00,$119.8
TX,Austin,78753,2018-01-11 00:00:00,$1028.29
TX,Houston,77024,2018-01-11 00:00:00,$264.85
TX,Houston,77063,2018-01-11 00:00:00,$74.75
TX,San Antonio,78232,2018-01-11 00:00:00,$514.3
TX,San Antonio,78250,2018-01-11 00:00:00,$388.6
TX,Austin,78723,2018-01-12 00:00:00,$179.55
TX,Austin,78753,2018-01-12 00:00:00,$179.55
TX,Austin,78758,2018-01-12 00:00:00,$326.9
TX,Dallas,75237,2018-01-12 00:00:00,$410.45
TX,El Paso,79912,2018-01-12 00:00:00,$763.85
TX,Amarillo,79121,2018-01-13 00:00:00,$259.65
TX,Arlington,76015,2018-01-13 00:00:00,$130.55
TX,Austin,78717,2018-01-13 00:00:00,$12.95
TX,Austin,78723,2018-01-13 00:00:00,$269.55
TX,Austin,78730,2018-01-13 00:00:00,$44.85
TX,Dallas,75220,2018-01-13 00:00:00,$259.35
TX,Houston,77024,2018-01-13 00:00:00,$269.55
TX,San Antonio,78245,2018-01-13 00:00:00,$14.95
TX,Austin,78704,2018-01-14 00:00:00,$339.25
TX,Austin,78723,2018-01-14 00:00:00,$85.75
TX,El Paso,79912,2018-01-14 00:00:00,$109.85
TX,El Paso,79936,2018-01-14 00:00:00,$181.3
TX,Fort Worth,76132,2018-01-14 00:00:00,$149.75
TX,Arlington,76015,2018-01-15 00:00:00,$143.55
TX,Austin,78704,2018-01-15 00:00:00,$213.35
TX,Austin,78753,2018-01-15 00:00:00,$119.7
TX,San Antonio,78250,2018-01-15 00:00:00,$225.4
TX,Austin,78748,2018-01-16 00:00:00,$119.7
TX,Austin,78758,2018-01-16 00:00:00,$235.3
TX,Dallas,75237,2018-01-16 00:00:00,$179.5
TX,El Paso,79925,2018-01-16 00:00:00,$96.65
TX,Fort Worth,76120,2018-01-16 00:00:00,$39.9
TX,Fort Worth,76132,2018-01-16 00:00:00,$217.85
TX,Houston,77024,2018-01-16 00:00:00,$25.9
TX,Houston,77042,2018-01-16 00:00:00,$29.9
TX,Lubbock,79407,2018-01-16 00:00:00,$1349.65
TX,San Antonio,78232,2018-01-16 00:00:00,$167.7
TX,San Antonio,78253,2018-01-16 00:00:00,$364.25
TX,Austin,78723,2018-01-17 00:00:00,$180.35
TX,Austin,78749,2018-01-17 00:00:00,$103.6
TX,Houston,77007,2018-01-17 00:00:00,$265.1
TX,San Antonio,78209,2018-01-17 00:00:00,$69.8
TX,Amarillo,79121,2018-01-18 00:00:00,$299.4
TX,Austin,78748,2018-01-18 00:00:00,$103.6
TX,Austin,78749,2018-01-18 00:00:00,$364.15
TX,Austin,78759,2018-01-18 00:00:00,$294.3
TX,El Paso,79925,2018-01-18 00:00:00,$580.79
TX,Houston,77069,2018-01-18 00:00:00,$67.32
TX,Lubbock,79407,2018-01-18 00:00:00,$174.65
TX,San Antonio,78245,2018-01-18 00:00:00,$49.95
TX,San Antonio,78250,2018-01-18 00:00:00,$222.4
TX,Amarillo,79121,2018-01-19 00:00:00,$341.1
TX,El Paso,79912,2018-01-19 00:00:00,$224.8
TX,Houston,77082,2018-01-19 00:00:00,$333.15
TX,Lubbock,79423,2018-01-19 00:00:00,$29.9
TX,Austin,78704,2018-01-20 00:00:00,$85.75
TX,Austin,78753,2018-01-20 00:00:00,$279.8
TX,Austin,78759,2018-01-20 00:00:00,$207.5
TX,Dallas,75204,2018-01-20 00:00:00,$549.3
TX,Houston,77042,2018-01-20 00:00:00,$231.5
TX,San Antonio,78253,2018-01-20 00:00:00,$327.2
TX,Austin,78749,2018-01-21 00:00:00,$39.9
TX,Dallas,75237,2018-01-21 00:00:00,$134.55
TX,El Paso,79936,2018-01-21 00:00:00,$479.45
TX,Houston,77007,2018-01-21 00:00:00,$229.65
TX,Austin,78723,2018-01-22 00:00:00,$99.8
TX,Austin,78749,2018-01-22 00:00:00,$367.15
TX,Austin,78759,2018-01-22 00:00:00,$239.6
TX,Dallas,75231,2018-01-22 00:00:00,$399.6
TX,El Paso,79912,2018-01-22 00:00:00,$172.55
TX,Fort Worth,76132,2018-01-22 00:00:00,$133.5
TX,Houston,77082,2018-01-22 00:00:00,$64.75
TX,San Antonio,78245,2018-01-22 00:00:00,$179.7
TX,Amarillo,79121,2018-01-23 00:00:00,$14.75
TX,Austin,78723,2018-01-23 00:00:00,$32.85
TX,Austin,78758,2018-01-23 00:00:00,$79.8
TX,Fort Worth,76120,2018-01-23 00:00:00,$74.75
TX,Fort Worth,76132,2018-01-23 00:00:00,$453.35
TX,Austin,78753,2018-01-24 00:00:00,$424.45
TX,El Paso,79912,2018-01-24 00:00:00,$361
TX,Austin,78749,2018-01-25 00:00:00,$317.13
TX,Lubbock,79423,2018-01-25 00:00:00,$684.05
TX,San Antonio,78245,2018-01-25 00:00:00,$214.35
TX,Dallas,75237,2018-01-26 00:00:00,$12.95
TX,Lubbock,79423,2018-01-26 00:00:00,$5.9
TX,Amarillo,79121,2018-01-27 00:00:00,$159.6
