State,City,Zipcode,Date,Sales
CA,Alameda,94501,2019-01-01 00:00:00,$576.29
CA,Anaheim,92802,2019-01-01 00:00:00,$340.9
CA,Anaheim,92808,2019-01-01 00:00:00,$137.7
CA,Bakersfield,93304,2019-01-01 00:00:00,$266.4
CA,Corona,92881,2019-01-01 00:00:00,$119.9
CA,Cupertino,95014,2019-01-01 00:00:00,$12.95
CA,Folsom,95630,2019-01-01 00:00:00,$69.95
CA,Fresno,93722,2019-01-01 00:00:00,$119.7
CA,Fresno,93726,2019-01-01 00:00:00,$1016.1
CA,Irvine,92618,2019-01-01 00:00:00,$21.95
CA,Napa,94558,2019-01-01 00:00:00,$179.45
CA,Napa,94559,2019-01-01 00:00:00,$57.9
CA,Rancho Cucamonga,91730,2019-01-01 00:00:00,$200.55
CA,Sacramento,95825,2019-01-01 00:00:00,$189.4
CA,San Francisco,94118,2019-01-01 00:00:00,$22.41
CA,San Jose,95123,2019-01-01 00:00:00,$224.35
CA,San Jose,95133,2019-01-01 00:00:00,$219.35
CA,Ventura,93003,2019-01-01 00:00:00,$116.55
OR,Albany,97322,2019-01-01 00:00:00,$319.85
OR,Beaverton,97005,2019-01-01 00:00:00,$1177.7
OR,Bend,97701,2019-01-01 00:00:00,$1488.85
OR,Eugene,97402,2019-01-01 00:00:00,$661.95
OR,Portland,97205,2019-01-01 00:00:00,$51.8
OR,Portland,97216,2019-01-01 00:00:00,$428.1
OR,Portland,97217,2019-01-01 00:00:00,$209.85
OR,Portland,97220,2019-01-01 00:00:00,$109.6
OR,Salem,97301,2019-01-01 00:00:00,$186.5
OR,Springfield,97477,2019-01-01 00:00:00,$114.55
WA,Bellevue,98006,2019-01-01 00:00:00,$19.95
WA,Seattle,98126,2019-01-01 00:00:00,$6
WA,Vancouver,98665,2019-01-01 00:00:00,$66.8
WA,Vancouver,98684,2019-01-01 00:00:00,$185.7
CA,Bakersfield,93311,2019-01-02 00:00:00,$44.8
CA,Burbank,91504,2019-01-02 00:00:00,$400.65
